id,Cities,Latitude,Longitude,day,dtf,ntf,wf
1,Mont Saint Michel,48.6359541,-1.511459954959514,0,6.89,8.65,moderate rain
1,Mont Saint Michel,48.6359541,-1.511459954959514,1,9.77,6.61,heavy intensity rain
1,Mont Saint Michel,48.6359541,-1.511459954959514,2,8.21,8.43,light rain
1,Mont Saint Michel,48.6359541,-1.511459954959514,3,9.39,7.56,overcast clouds
1,Mont Saint Michel,48.6359541,-1.511459954959514,4,6.03,2.85,scattered clouds
1,Mont Saint Michel,48.6359541,-1.511459954959514,5,6.55,1.9,broken clouds
1,Mont Saint Michel,48.6359541,-1.511459954959514,6,4.0,-1.12,clear sky
2,St Malo,48.649518,-2.0260409,0,7.04,9.23,moderate rain
2,St Malo,48.649518,-2.0260409,1,10.32,7.31,heavy intensity rain
2,St Malo,48.649518,-2.0260409,2,8.56,9.66,light rain
2,St Malo,48.649518,-2.0260409,3,9.56,8.48,overcast clouds
2,St Malo,48.649518,-2.0260409,4,6.31,4.56,scattered clouds
2,St Malo,48.649518,-2.0260409,5,6.64,4.7,broken clouds
2,St Malo,48.649518,-2.0260409,6,4.08,1.22,clear sky
3,Bayeux,49.2764624,-0.7024738,0,6.82,6.42,light rain
3,Bayeux,49.2764624,-0.7024738,1,9.01,5.35,heavy intensity rain
3,Bayeux,49.2764624,-0.7024738,2,8.09,5.5,light rain
3,Bayeux,49.2764624,-0.7024738,3,8.67,6.24,overcast clouds
3,Bayeux,49.2764624,-0.7024738,4,6.04,2.45,broken clouds
3,Bayeux,49.2764624,-0.7024738,5,5.93,2.44,overcast clouds
3,Bayeux,49.2764624,-0.7024738,6,3.38,-1.75,clear sky
4,Le Havre,49.4938975,0.1079732,0,6.69,6.53,light rain
4,Le Havre,49.4938975,0.1079732,1,9.23,7.49,heavy intensity rain
4,Le Havre,49.4938975,0.1079732,2,8.06,8.3,moderate rain
4,Le Havre,49.4938975,0.1079732,3,8.49,5.81,light rain
4,Le Havre,49.4938975,0.1079732,4,5.37,4.03,overcast clouds
4,Le Havre,49.4938975,0.1079732,5,6.32,3.38,overcast clouds
4,Le Havre,49.4938975,0.1079732,6,4.11,1.15,clear sky
5,Rouen,49.4404591,1.0939658,0,6.35,4.34,moderate rain
5,Rouen,49.4404591,1.0939658,1,7.98,5.72,heavy intensity rain
5,Rouen,49.4404591,1.0939658,2,5.47,3.87,light rain
5,Rouen,49.4404591,1.0939658,3,7.01,2.01,overcast clouds
5,Rouen,49.4404591,1.0939658,4,4.69,1.02,overcast clouds
5,Rouen,49.4404591,1.0939658,5,4.99,0.44,overcast clouds
5,Rouen,49.4404591,1.0939658,6,3.67,-0.9,clear sky
6,Paris,48.8588897,2.3200410217200766,0,5.08,6.96,light rain
6,Paris,48.8588897,2.3200410217200766,1,7.06,5.14,moderate rain
6,Paris,48.8588897,2.3200410217200766,2,5.44,4.75,moderate rain
6,Paris,48.8588897,2.3200410217200766,3,5.49,3.53,broken clouds
6,Paris,48.8588897,2.3200410217200766,4,4.9,2.15,scattered clouds
6,Paris,48.8588897,2.3200410217200766,5,4.73,1.64,broken clouds
6,Paris,48.8588897,2.3200410217200766,6,2.74,0.14,clear sky
7,Amiens,49.8941708,2.2956951,0,5.0,1.76,heavy intensity rain
7,Amiens,49.8941708,2.2956951,1,6.18,5.49,moderate rain
7,Amiens,49.8941708,2.2956951,2,5.24,4.88,moderate rain
7,Amiens,49.8941708,2.2956951,3,6.12,1.01,overcast clouds
